town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,はしもと内科32,甲斐 内科 消化器内科 クリニック32,内科神経科精神科水原診療所32,クリニック 青い鳥32,おうとくクリニック32,つくだクリニック32,村嶋小児科医院32,岩井内科クリニック32,医療法人 祥風会 奈良みどりクリニック32,佐野内科医院32,医療法人 つかもと整形外科32,市立奈良病院32,寺崎クリニック32,医療法人博愛会松倉病院(社団)32,東谷医院32,一般財団法人沢井病院32,医療法人岡谷会高畑診療所32,医療法人 中井医院32,医療法人 西脇クリニック32,吉富クリニック32,奈良やよいクリニック32,石崎内科天満診療所32,なかがわ呼吸器科アレルギー科医院32,たけもとクリニック32,あそだ内科クリニック32,医療法人うえしげクリニック32,医療法人前田医院32,医療法人竹村内科医院32,かづきクリニック32,医療法人塩谷内科診療所32,医療法人坂口医院32,三条通り整形外科32,西村クリニック32,奥医院32,なら内視鏡クリニック32,金田内科医院32,医療法人岡谷会おかたに病院32,植山医院32,森田医院32,高木医院32,医療法人岡谷会 さくら診療所32,医療法人吉本医院32,医療法人 須基内科医院32,しき地診療所32,医療法人坪村診療所32,しらい内科医院32,大和診療所32,わかくさ会診療所32,なかがわメディカル32,藤原クリニック32,医療法人岡谷会新大宮診療所32,塩田医院32,金田内科クリニック32,医療法人まえだ医院32,斉藤医院32,やまがた内科医院32,飯田医院32,清水内科医院32,近鉄奈良駅前クリニック32,奈良市立興東診療所32
奈良市園田町,奈良市,園田町,29201850000,2.731632591939625,135.89639429404085,34.70464301352756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市大保町,奈良市,大保町,29201839000,3.023483855482345,135.9492941028446,34.69991241963989,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,21.0,0.0,0.0,40.0,0.0,13.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市柳生町,奈良市,柳生町,29201835000,3.165827921517349,135.956497247636,34.72270495200906,0.0,0.0,0.0,0.0,0.0,32.0,0.0,23.0,0.0,0.0,19.0,0.0,0.0,85.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,32.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,21.0,0.0,0.0,0.0,0.0
奈良市平清水町,奈良市,平清水町,29201851000,3.1829811345321852,135.89562311166904,34.698258887029056,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,23.0,34.0,15.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0
奈良市法用町,奈良市,法用町,29201853000,3.5389233553196737,135.88678431006844,34.70445926544494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市柳生下町,奈良市,柳生下町,29201836000,3.6903726760014224,135.9515880486813,34.739431774682174,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,150.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,41.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市大平尾町,奈良市,大平尾町,29201844000,3.7834271699708775,135.92734357455467,34.682354143496326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市大慈仙町,奈良市,大慈仙町,29201846000,3.863013839118844,135.89816628414013,34.68793476441999,16.0,0.0,0.0,0.0,0.0,25.0,16.0,26.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市東鳴川町,奈良市,東鳴川町,29201854000,4.003557151708193,135.87996720476232,34.70858179582033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市広岡町,奈良市,広岡町,29201864000,4.0159592604653405,135.92477667247923,34.752251234788005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
